pleiades_id,en,zh,source,note
599905,Priene/‘Lince’?,普里埃内/普里埃內,Wikidata,Q142819 · 7 mention(s)
550877,Sigeion,西格翁,Wikidata,Q1583181 · 7 mention(s)
216817,Getae,蓋塔人,Wikidata,Q19012 · 6 mention(s)
857352,Thermodon (river),泰尔梅河,Wikidata,Q18689526 · 6 mention(s)
863766,Caucasus (mountain range),高加索山脉/高加索山,Wikidata,Q5477 · 6 mention(s)
256468,Tartessos,塔尔提索斯/塔特苏斯,Wikidata,Q320416 · 6 mention(s)
550913,Teos,忒欧斯,Wikidata,Q17586 · 6 mention(s)
580114,Tanagra,塔纳格拉,Wikidata,Q779310 · 6 mention(s)
442810,Taras/Tarentum/Neptunia,塔兰托/塔蘭托,Wikidata,Q13498 · 6 mention(s)
472014,Sardinia (island),撒丁岛,Wikidata,Q19740031 · 6 mention(s)
550650,Klazomenai (earlier),克拉佐美纳伊,Wikidata,Q536598 · 6 mention(s)
541104,Skiathos (settlement),斯基亚索斯,Wikidata,Q7534982 · 6 mention(s)
727192,Pelusium,帕路修斯/皮路希姆,Wikidata,Q1145715 · 5 mention(s)
462126,Camarina,卡馬利納,Wikidata,Q854843 · 5 mention(s)
912964,Tigris/Diglitus (river),底格里斯河/希底结河,Wikidata,Q35591 · 5 mention(s)
570740,Tiryns,梯林斯/提任斯,Wikidata,Q217379 · 5 mention(s)
550937,Tmolus (mountain),特摩罗斯,Wikidata,Q7878579 · 5 mention(s)
599577,Colophon,科洛封,Wikidata,Q1142488 · 5 mention(s)
501409,Edones,埃多尼斯,Wikidata,Q3719711 · 5 mention(s)
716520,Ammon,锡瓦绿洲/西瓦綠洲,Wikidata,Q2008735 · 5 mention(s)
639137,Telmessos,忒耳墨索斯,Wikidata,Q1145385 · 5 mention(s)
531155,Zacynthus (island),扎金索斯岛,Wikidata,Q144880 · 5 mention(s)
226800,Tyras/Ophioussa,提拉斯,Wikidata,Q2019115 · 5 mention(s)
226603,Gerros (river),莫洛奇纳河,Wikidata,Q1513565 · 5 mention(s)
540744,Dryopes,德律俄珀斯國,Wikidata,Q11917781 · 5 mention(s)
894056,Opis,歐皮斯/俄庇斯,Wikidata,Q1287526 · 5 mention(s)
501520,Myrkinos,穆尔基努斯,Wikidata,Q6948303 · 5 mention(s)
531117,Thesprotia,塞斯普罗蒂亞人,Wikidata,Q2551754 · 5 mention(s)
501439,Imbros (island),格克切島,Wikidata,Q658437 · 4 mention(s)
845013,Mariandynoi,瑪利安杜尼亞人,Wikidata,Q6762088 · 4 mention(s)
462489,Selinus,塞利农特,Wikidata,Q952173 · 4 mention(s)
462306,Mazara (river),馬扎羅河,Wikidata,Q3849227 · 4 mention(s)
501646,Torone,托罗尼,Wikidata,Q1638072 · 4 mention(s)
857321,Sinope,锡诺普,Wikidata,Q599416 · 4 mention(s)
922693,Pasargadae/Batrakatash,帕萨尔加德,Wikidata,Q230025 · 3 mention(s)
491534,Axios (river),瓦尔达尔河,Wikidata,Q189596 · 3 mention(s)
589886,Kydonia,基多尼亚/科多尼亚,Wikidata,Q1481525 · 3 mention(s)
462244,Himera,希梅拉,Wikidata,Q1111219 · 3 mention(s)
266076,Turia (river),图里亚河,Wikidata,Q20118 · 3 mention(s)
570640,Pylos/Koryphasion,皮洛斯/派娄斯,Wikidata,Q7263152 · 3 mention(s)
570756,Troizen,特里津,Wikidata,Q581494 · 3 mention(s)
727156,Mendes,门德斯,Wikidata,Q1427162 · 3 mention(s)
501468,Kikones,cicones,Wikidata,Q1108464 · 3 mention(s)
59818,Gandaris,健驮逻国/建驮罗,Wikidata,Q213651 · 3 mention(s)
501524,Nestos (river),奈斯托斯河/梅斯塔河,Wikidata,Q193904 · 3 mention(s)
599795,Melie/Karion,居泽尔恰姆勒,Wikidata,Q223392 · 3 mention(s)
550575,Hermus (river),盖迪兹河,Wikidata,Q1351474 · 3 mention(s)
570402,Kythnos,基斯诺斯岛,Wikidata,Q739779 · 3 mention(s)
511225,Daskyleion,达斯库里乌姆/達斯庫里烏姆,Wikidata,Q1171924 · 3 mention(s)
857177,Kabeira/Neocaesarea/Diospolis/Sebaste/Hadriane,尼克萨尔,Wikidata,Q513980 · 2 mention(s)
540737,Dolopia,多洛皮亞,Wikidata,Q776988 · 2 mention(s)
511354,Parium/Col. Gemella Iulia *Hadriana,帕里昂,Wikidata,Q1411652 · 2 mention(s)
599832,Nysa/Athymbra,涅薩,Wikidata,Q1779332 · 2 mention(s)
540817,Histiaia/Hestiaia,奧利斯,Wikidata,Q107586662 · 2 mention(s)
638811,Colossae,科洛赛/科奈,Wikidata,Q1001370 · 2 mention(s)
550556,Gygaia/Koloe/Talaimenis (lake),馬爾馬拉湖,Wikidata,Q601695 · 2 mention(s)
697725,Petra,佩特拉,Wikidata,Q5788 · 2 mention(s)
668340,Posideion,拉斯·巴西特,Wikidata,Q4119291 · 2 mention(s)
550794,Pactolus (river),帕克托勒斯河,Wikidata,Q923929 · 2 mention(s)
501432,Hebros (river),马里查河,Wikidata,Q204347 · 2 mention(s)
638996,Milyas (region),米利亚,Wikidata,Q28195245 · 2 mention(s)
511189,Bithynia (region),比提尼亞/底推尼,Wikidata,Q373189 · 2 mention(s)
599593,Didyma/Branchidai/Ioustinianopolis,蒂蒂瑪/布朗寄達伊,Wikidata,Q671358 · 2 mention(s)
462202,Eryx (mountain),埃里切山,Wikidata,Q3861524 · 2 mention(s)
501393,Dardanos,达尔达尼亚/達達諾斯,Wikidata,Q950952 · 2 mention(s)
550944,Troas (region),特洛阿德/特洛德,Wikidata,Q2454671 · 2 mention(s)
570281,Helike,赫里克,Wikidata,Q1432654 · 2 mention(s)
383698,Liguria (region),利古里亚大区,Wikidata,Q1256 · 2 mention(s)
438670,Allia (river),阿里亚河,Wikidata,Q369581 · 2 mention(s)
579954,Hymettos,伊米托斯山,Wikidata,Q1232266 · 2 mention(s)
570612,Pisa,比薩,Wikidata,Q922329 · 2 mention(s)
158698879,Kynosarges,快犬,Wikidata,Q940907 · 2 mention(s)
541141,Thespiai,Thespiae城/特斯皮埃,Wikidata,Q1141295 · 2 mention(s)
216717,Athrys/Iatros/Ieterus (river),扬特拉河,Wikidata,Q217126 · 1 mention(s)
246418,(H)Iberus (river),埃布羅河/埃布罗河,Wikidata,Q10965 · 1 mention(s)
256145,Cuneus (promontory),圣玛利亚角,Wikidata,Q5015746 · 1 mention(s)
952076,Daoi/Dahae,大益,Wikidata,Q852554 · 1 mention(s)
580044,Oropos,奥罗帕斯/奥罗普斯,Wikidata,Q18073696 · 1 mention(s)
570723,Therapne,铁拉普涅,Wikidata,Q15940498 · 1 mention(s)
579858,Alopeke,阿罗裴克/阿洛佩克,Wikidata,Q2839314 · 1 mention(s)
580119,Thorikos,索里科斯,Wikidata,Q353184 · 1 mention(s)
570479,Messene,美西尼/墨塞涅,Wikidata,Q1022117 · 1 mention(s)
570318,Ithome (mountain),伊托姆山/伊索姆山,Wikidata,Q602538 · 1 mention(s)
599693,Karyanda,卡里安达,Wikidata,Q4893908 · 1 mention(s)
550692,Leleges,利利格人,Wikidata,Q375221 · 1 mention(s)
599754,Lebedos/Ptolemais,勒比都,Wikidata,Q302905 · 1 mention(s)
599808,Mykonos (island),米科诺斯岛,Wikidata,Q190210 · 1 mention(s)
541108,Skyros (settlement),斯基罗斯岛,Wikidata,Q208566 · 1 mention(s)
541112,Spercheios,斯佩耳刻俄斯河,Wikidata,Q426309 · 1 mention(s)
540837,Iolkos,伊奥尔科斯,Wikidata,Q662613 · 1 mention(s)
540968,Oeta (mountain),奧塔山,Wikidata,Q132378 · 1 mention(s)
638753,Aphrodisias,阿弗罗狄西亚/阿芙洛蒂西亚斯,Wikidata,Q618495 · 1 mention(s)
639042,Patara/Arsinoe,帕塔剌,Wikidata,Q233121 · 1 mention(s)
511187,Bisanthe/Rhaidestos,赖得斯托斯,Wikidata,Q6094056 · 1 mention(s)
501556,Perkote,佩爾柯鐵,Wikidata,Q3558595 · 1 mention(s)
727236,Tanis,塔尼斯/坦尼斯,Wikidata,Q210598 · 1 mention(s)
481798,Dardania,达尔达尼亚王国,Wikidata,Q11916620 · 1 mention(s)
786089,Philae,菲莱/菲莱神殿,Wikidata,Q245062 · 1 mention(s)
805630,Meroe,麦罗埃,Wikidata,Q5780 · 1 mention(s)
845036,Parthenios (river),帕耳忒尼俄斯河,Wikidata,Q2886191 · 1 mention(s)
462279,Leontini,伦蒂尼/西西里,Wikidata,Q488240 · 1 mention(s)
383627,Comum,科莫,Wikidata,Q1308 · 1 mention(s)
403280,Telamon,塔拉莫,Wikidata,Q2073211 · 1 mention(s)
442618,Iapyges,雅皮吉人,Wikidata,Q841576 · 1 mention(s)
442733,Poseidonia/Paestum,帕埃斯图姆,Wikidata,Q329967 · 1 mention(s)
354116,Garamantes,加拉曼特人/加拉曼提人,Wikidata,Q839034 · 1 mention(s)
857350,Themiskyra,特弥斯库拉,Wikidata,Q122875 · 1 mention(s)
202833934,Sumer,苏美尔/蘇美人,Wikidata,Q35355 · 1 mention(s)
599641,Heraion,赫拉神殿,Wikidata,Q841207 · 1 mention(s)
599745,Labraunda,拉布朗达,Wikidata,Q1799531 · 1 mention(s)
550691,Lekton/Lectum,巴巴角,Wikidata,Q527902 · 1 mention(s)
540583,Abantes,阿班忒斯人,Wikidata,Q305516 · 1 mention(s)
520988,Chalcedon,迦克墩/迦克敦,Wikidata,Q337381 · 1 mention(s)
639051,Phaselis,法塞利斯,Wikidata,Q595329 · 1 mention(s)
668197,Arados,艾尔瓦德岛,Wikidata,Q377802 · 1 mention(s)
501336,Aigospotamos,埃戈斯溪,Wikidata,Q404513 · 1 mention(s)
491687,Pella/Diokletianoupolis,培拉,Wikidata,Q213679 · 1 mention(s)
786123,Syene,阿斯旺,Wikidata,Q29888 · 1 mention(s)
589872,Knosos/Col. Iulia Nobilis Cnosos,克诺索斯/诺索斯,Wikidata,Q173527 · 1 mention(s)
