pleiades_id,en,zh,source,note
# 中文译名对照表 / Chinese place-name table
#
# 用法：每行一个地点。pleiades_id 为准，en 仅供人工核对。
#   pleiades_id  Pleiades 地名 id（地图以此为准，必填）
#   en           英文/拉丁转写（人工核对用，程序不依赖）
#   zh           中文译名（可用 / 分隔多个异译，第一个为首选）
#   source       译名来源，例如：徐松岩《历史》索引 / 徐松岩《伯罗奔尼撒战争史》 /
#                徐松岩《希腊史》 / 通用 / 待核
#   note         备注，可留空
#
# 以 # 开头的行会被忽略。source 留空或标「待核」的条目会在运行时提示。
#
# 内容：Pleiades id 与中文地名的对照。译名取自徐松岩译本索引（事实性对应），
# 不包含译本正文或注释文字。Wikidata 行为 CC0。
579888,Attica,阿提卡,徐松岩《历史》2018修订本索引,
550497,Chios (island),希俄斯岛/基俄斯,Wikidata,Q160483 · 46 mention(s)
570707,Tegea,泰格亚,徐松岩《历史》2018修订本索引,在德尔斐 在开俄斯
491680,Paionia,培奥尼亚,Wikidata,Q249561 · 42 mention(s)
1306,Syria,沙姆地区/泛叙利亚主义,Wikidata,
707498,Cyprus (island),路斯人,徐松岩《历史》2018修订本索引,
912936,Susa/Seleucia ad Eulaeum,苏萨/شوش,Wikidata,Q180773 · 39 mention(s)
540667,Artemision,阿尔特密西昂,徐松岩《历史》2018修订本索引,在优波亚 描述 阿尔特密西昂战役 从那里撤退
599588,Delos (island),提洛,徐松岩《历史》2018修订本索引,
903080,Media/Mad(aya) (region),米底,Wikidata,Q3853673 · 34 mention(s)
29492,Assyria (kingdom),亚述,徐松岩《历史》2018修订本索引,亚述的领土
550823,Phocaea,佛凯亚,徐松岩《历史》2018修订本索引,
550535,Erythrai,爱利特莱,徐松岩《历史》2018修订本索引,(1)伊奥尼亚一城市，：
541140,Thermopylae,温泉关/詹莫皮索,Wikidata,Q194450 · 29 mention(s)
599822,Naxos (island),纳克索斯,徐松岩《历史》2018修订本索引,（1）爱琴海一岛屿 37
658440,Cilicia (region),奇里乞亚/喀利喀亚,Wikidata,Q620864 · 28 mention(s)
59921,Massagetai,马萨革泰人,徐松岩《历史》2018修订本索引,里海以北一个民族 作战的方式 食物
570228,Epidauros,爱皮道鲁斯,徐松岩《历史》2018修订本索引,在阿尔戈利斯，多利斯人的城邦 86 爱皮道鲁斯人
863770,Colchis/Lazike (region),科尔基斯,徐松岩《历史》2018修订本索引,攸克星海沿岸一城邦
